+C Avg. Runtime	+C lower CI	+C upper CI
17912	17713.0	18111.0
-C Avg. Runtime	-C lower CI	-C upper CI
510	505.0	514.0

Trail	C+ Runtime	C- Runtime
0	17969	499
1	17676	505
2	18525	512
3	17703	500
4	17543	509
5	17732	528
6	17553	503
7	18847	507
8	17945	519
9	17250	500
10	17914	515
11	19483	512
12	17510	524
13	17786	500
14	17297	501
15	17445	557
16	17776	510
17	18332	501
18	18628	517
19	17880	499
20	17749	502
21	17431	504
22	19109	505
23	17234	520
24	17827	524
25	17796	500
26	17381	497
27	18529	507
28	18167	497
29	17346	522
