+C Avg. Runtime	+C lower CI	+C upper CI
24187	24024.0	24351.0
-C Avg. Runtime	-C lower CI	-C upper CI
533	529.0	538.0

Trail	C+ Runtime	C- Runtime
0	25478	528
1	23982	537
2	24807	530
3	23926	525
4	23650	525
5	24504	538
6	23877	527
7	24753	568
8	23618	527
9	23890	531
10	23694	525
11	24187	535
12	23903	527
13	23687	524
14	24688	535
15	24406	530
16	24265	531
17	24403	564
18	24982	528
19	24029	533
20	23894	547
21	23911	522
22	24125	523
23	23613	522
24	24163	530
25	24135	566
26	24029	524
27	24483	530
28	24847	519
29	23691	545
