+C Avg. Runtime	+C lower CI	+C upper CI
65620	65344.0	65896.0
-C Avg. Runtime	-C lower CI	-C upper CI
3783	3755.0	3811.0

Trail	C+ Runtime	C- Runtime
0	66534	3781
1	65796	3756
2	64308	3736
3	65628	3752
4	64464	3802
5	65273	3734
6	65446	4143
7	64624	3854
8	66035	3818
9	66183	3760
10	66085	3724
11	64272	3720
12	65868	3813
13	66581	3773
14	66569	3753
15	66584	3785
16	66039	3767
17	65438	3861
18	66085	3735
19	64585	3783
20	64337	3746
21	66821	3807
22	65094	3708
23	65673	3756
24	65911	3763
25	66299	3814
26	66072	3721
27	65406	3840
28	64407	3751
29	66193	3727
