+C Avg. Runtime	+C lower CI	+C upper CI
69929	66717.0	73140.0
-C Avg. Runtime	-C lower CI	-C upper CI
3842	3770.0	3915.0

Trail	C+ Runtime	C- Runtime
0	83789	4274
1	86303	4009
2	86340	4057
3	82423	4181
4	78890	4058
5	79841	4013
6	96047	4140
7	57306	3987
8	63807	4147
9	68525	4111
10	64490	3696
11	65226	3648
12	65226	4034
13	64884	3664
14	65178	3677
15	63511	3861
16	62826	3667
17	66302	3683
18	64278	3767
19	63553	3631
20	67617	3643
21	68658	3662
22	67470	3721
23	66324	3744
24	63772	3657
25	64838	3665
26	63716	3723
27	69514	3684
28	64164	3683
29	73039	3788
