+C Avg. Runtime	+C lower CI	+C upper CI
5063	5048.0	5077.0
-C Avg. Runtime	-C lower CI	-C upper CI
3656	3639.0	3672.0

Trail	C+ Runtime	C- Runtime
0	5038	3724
1	5048	3602
2	5118	3736
3	4979	3557
4	5117	3652
5	5112	3680
6	5056	3594
7	5136	3677
8	5087	3676
9	5024	3591
10	5063	3683
11	5065	3667
12	5065	3695
13	5063	3616
14	5028	3664
15	5036	3659
16	5113	3635
17	5091	3634
18	5065	3677
19	5103	3654
20	5088	3577
21	4990	3593
22	4995	3652
23	5046	3656
24	5091	3647
25	5049	3673
26	5025	3680
27	5025	3687
28	5051	3767
29	5120	3660
